scenario,forecast_column,cases,shortfall_qty,cases_fixed,cases_improved,cases_worsened,added_bakery_demand,segment
historical_baseline,forecast_qty,397,1509.2847316966013,0,0,0,0.0,
historical_baseline__allocation,forecast_qty,231,930.7828102128697,0,0,0,0.0,allocation
historical_baseline__demand_loss,forecast_qty,26,136.20880986597808,0,0,0,140.31317172608948,demand_loss
historical_baseline__uncertain,forecast_qty,140,442.29311161775354,0,0,0,0.0,uncertain
demand_only,demand_only_forecast,397,1453.584647466562,23,25,0,140.31317172608948,
demand_only__allocation,demand_only_forecast,231,930.7828102128697,0,0,0,0.0,allocation
demand_only__demand_loss,demand_only_forecast,26,80.50872563593856,23,25,0,140.31317172608948,demand_loss
demand_only__uncertain,demand_only_forecast,140,442.29311161775354,0,0,0,0.0,uncertain
current_profile_diagnostic,current_profile_forecast,397,1009.7616452333716,134,272,119,0.0,
current_profile_diagnostic__allocation,current_profile_forecast,231,636.8995389874376,71,157,71,0.0,allocation
current_profile_diagnostic__demand_loss,current_profile_forecast,26,108.37421004087602,12,20,6,140.31317172608948,demand_loss
current_profile_diagnostic__uncertain,current_profile_forecast,140,264.4878962050582,51,95,42,0.0,uncertain
current_profile_plus_demand_diagnostic,current_profile_plus_demand,397,976.7170002483426,145,276,115,140.31317172608948,
current_profile_plus_demand_diagnostic__allocation,current_profile_plus_demand,231,636.8995389874376,71,157,71,0.0,allocation
current_profile_plus_demand_diagnostic__demand_loss,current_profile_plus_demand,26,75.3295650558469,23,24,2,140.31317172608948,demand_loss
current_profile_plus_demand_diagnostic__uncertain,current_profile_plus_demand,140,264.4878962050582,51,95,42,0.0,uncertain
dynamic_walk_forward,dynamic_forecast,397,1525.4068392275526,2,39,113,0.0,
dynamic_walk_forward__allocation,dynamic_forecast,231,942.4271258701602,2,24,65,0.0,allocation
dynamic_walk_forward__demand_loss,dynamic_forecast,26,137.59752194398197,0,2,8,140.31317172608948,demand_loss
dynamic_walk_forward__uncertain,dynamic_forecast,140,445.3821914134104,0,13,40,0.0,uncertain
dynamic_walk_forward_plus_demand,dynamic_plus_demand,397,1469.4777839958726,25,62,106,140.31317172608948,
dynamic_walk_forward_plus_demand__allocation,dynamic_plus_demand,231,942.4271258701602,2,24,65,0.0,allocation
dynamic_walk_forward_plus_demand__demand_loss,dynamic_plus_demand,26,81.66846671230192,23,25,1,140.31317172608948,demand_loss
dynamic_walk_forward_plus_demand__uncertain,dynamic_plus_demand,140,445.3821914134104,0,13,40,0.0,uncertain
